stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
718,1939,Trissinoplatz,48.406835,10.033033,2
719,1939,Trissinoplatz,48.406780,10.032918,2
72,1008,Hauptbahnhof,48.399745,9.984147,1
720,1940,Winterstraße,48.411838,10.043754,2
73,1008,Hauptbahnhof,48.399340,9.984220,1
74,1008,Hauptbahnhof,48.399340,9.984220,1
75,1008,Hauptbahnhof,48.399830,9.984040,1
750,1942,Schulzentrum Pfuhl,48.414237,10.053843,1
751,1864,Borsigstraße,48.395759,10.016484,2
752,1864,Borsigstraße,48.395745,10.016556,2
753,1871,Lessingstraße,48.396730,10.024670,2
754,1871,Lessingstraße,48.396900,10.025600,2
755,1961,Bahnhof Burlafingen,48.410765,10.069126,1
756,1962,Dorfplatz Burlafingen,48.415263,10.068100,1
757,1964,Glöcklerstraße,48.416436,10.065190,1
758,1968,Schule Burlafingen,48.412041,10.069777,1
