route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4,11,10681,,,,,,,
4,11,10682,,,,,,,
4,11,10683,,,,,,,
4,11,10684,,,,,,,
4,11,10685,,,,,,,
4,11,10686,,,,,,,
4,11,10687,,,,,,,
4,11,10688,,,,,,,
4,11,10689,,,,,,,
5,62,1069,,,,,,,
4,11,10690,,,,,,,
4,11,10691,,,,,,,
4,11,10692,,,,,,,
4,11,10693,,,,,,,
4,11,10694,,,,,,,
4,11,10695,,,,,,,
4,11,10696,,,,,,,
4,11,10697,,,,,,,
4,11,10698,,,,,,,
4,61,107,,,,,,,
5,62,1070,,,,,,,
4,11,10701,,,,,,,
5,11,10704,,,,,,,
5,11,10705,,,,,,,
5,11,10706,,,,,,,
5,11,10707,,,,,,,
5,11,10708,,,,,,,
5,11,10709,,,,,,,
5,62,1071,,,,,,,
5,11,10710,,,,,,,
5,11,10711,,,,,,,
5,11,10712,,,,,,,
5,11,10713,,,,,,,
5,11,10714,,,,,,,
5,11,10715,,,,,,,
5,11,10716,,,,,,,
5,11,10717,,,,,,,
5,11,10718,,,,,,,
5,11,10719,,,,,,,
5,62,1072,,,,,,,
5,11,10720,,,,,,,
5,11,10721,,,,,,,
5,11,10722,,,,,,,
5,11,10723,,,,,,,
5,11,10724,,,,,,,
5,11,10727,,,,,,,
5,11,10728,,,,,,,
5,11,10729,,,,,,,
5,62,1073,,,,,,,
5,11,10730,,,,,,,
5,11,10731,,,,,,,
5,11,10732,,,,,,,
5,11,10733,,,,,,,
5,11,10734,,,,,,,
5,11,10735,,,,,,,
5,11,10736,,,,,,,
5,11,10737,,,,,,,
5,11,10738,,,,,,,
5,11,10739,,,,,,,
5,62,1074,,,,,,,
5,11,10740,,,,,,,
5,11,10741,,,,,,,
5,11,10742,,,,,,,
5,11,10743,,,,,,,
5,11,10744,,,,,,,
5,11,10745,,,,,,,
6,11,10746,,,,,,,
6,11,10747,,,,,,,
5,11,10748,,,,,,,
5,11,10749,,,,,,,
5,62,1075,,,,,,,
6,11,10750,,,,,,,
6,11,10751,,,,,,,
5,11,10752,,,,,,,
5,11,10755,,,,,,,
5,11,10756,,,,,,,
5,11,10757,,,,,,,
5,11,10758,,,,,,,
5,11,10759,,,,,,,
5,62,1076,,,,,,,
5,11,10760,,,,,,,
5,11,10761,,,,,,,
5,11,10762,,,,,,,
5,11,10763,,,,,,,
5,11,10764,,,,,,,
5,11,10765,,,,,,,
5,11,10766,,,,,,,
5,11,10767,,,,,,,
5,11,10768,,,,,,,
5,11,10769,,,,,,,
5,62,1077,,,,,,,
5,11,10770,,,,,,,
5,11,10771,,,,,,,
5,11,10772,,,,,,,
5,11,10773,,,,,,,
5,11,10774,,,,,,,
5,11,10775,,,,,,,
5,11,10778,,,,,,,
5,11,10779,,,,,,,
5,62,1078,,,,,,,
5,11,10780,,,,,,,
5,11,10781,,,,,,,
5,11,10782,,,,,,,
5,11,10783,,,,,,,
5,11,10784,,,,,,,
5,11,10785,,,,,,,
5,11,10786,,,,,,,
5,11,10787,,,,,,,
5,11,10788,,,,,,,
5,11,10789,,,,,,,
5,62,1079,,,,,,,
5,11,10790,,,,,,,
5,11,10791,,,,,,,
5,11,10792,,,,,,,
5,11,10795,,,,,,,
5,11,10796,,,,,,,
5,11,10797,,,,,,,
5,11,10798,,,,,,,
5,11,10799,,,,,,,
4,61,108,,,,,,,
5,62,1080,,,,,,,
5,11,10800,,,,,,,
5,11,10801,,,,,,,
5,11,10802,,,,,,,
5,11,10803,,,,,,,
5,11,10804,,,,,,,
5,11,10805,,,,,,,
5,11,10806,,,,,,,
5,11,10807,,,,,,,
5,11,10808,,,,,,,
5,62,1081,,,,,,,
5,11,10811,,,,,,,
5,11,10812,,,,,,,
5,11,10813,,,,,,,
5,11,10814,,,,,,,
5,11,10815,,,,,,,
5,11,10816,,,,,,,
5,11,10817,,,,,,,
5,11,10818,,,,,,,
5,11,10819,,,,,,,
5,62,1082,,,,,,,
5,11,10820,,,,,,,
5,11,10821,,,,,,,
5,11,10822,,,,,,,
5,11,10823,,,,,,,
5,11,10824,,,,,,,
5,11,10825,,,,,,,
5,11,10826,,,,,,,
5,11,10827,,,,,,,
5,11,10828,,,,,,,
5,11,10829,,,,,,,
5,62,1083,,,,,,,
5,11,10830,,,,,,,
5,11,10831,,,,,,,
5,11,10834,,,,,,,
5,11,10835,,,,,,,
5,11,10836,,,,,,,
5,11,10837,,,,,,,
